Date,Sector,Sym,PctRet
2016-09-21,FX,AD,-0.005016
2016-09-29,FX,AD,-0.005183
2016-09-29,FX,AD,0.006954000000000001
2016-09-29,FX,AD,-0.001584
2016-09-30,FX,AD,0.002016
2016-10-04,FX,AD,0.006887000000000001
2016-10-04,FX,AD,-0.0008640000000000001
2016-10-05,FX,AD,-0.005183
2016-10-06,FX,AD,-0.0012779999999999998
2016-10-07,FX,AD,-0.005301
2016-10-07,FX,AD,-0.005301
2016-10-11,FX,AD,0.0023940000000000003
2016-10-13,FX,AD,-0.005016
2016-10-13,FX,AD,0.0018239999999999999
2016-10-14,FX,AD,0.006954000000000001
2016-10-14,FX,AD,-0.004633
2016-10-18,FX,AD,-0.005301
2016-10-20,FX,AD,0.007051999999999999
2016-10-20,FX,AD,0.002592
2016-10-25,FX,AD,-0.005016
2016-10-25,FX,AD,0.0009689999999999999
2016-10-27,FX,AD,0.0018239999999999999
2016-11-01,FX,AD,-0.005043
2016-11-02,FX,AD,-0.0038759999999999997
2016-11-08,FX,AD,0.006887000000000001
2016-11-10,FX,AD,-0.005148
2016-11-10,FX,AD,0.007104000000000001
2016-11-10,FX,AD,-0.0015119999999999999
2016-11-11,FX,AD,0.0017219999999999998
2016-11-16,FX,AD,-0.000288
2016-11-29,FX,AD,-0.004118
2016-11-30,FX,AD,0.006954000000000001
2016-11-30,FX,AD,0.007056000000000001
2016-11-30,FX,AD,0.000704
2016-12-02,FX,AD,-0.005301
2016-12-05,FX,AD,-0.003744
2016-12-06,FX,AD,-0.005183
2016-12-07,FX,AD,0.002679
2016-12-08,FX,AD,-0.005301
2016-12-08,FX,AD,-0.004161
2016-12-09,FX,AD,-0.005183
2016-12-09,FX,AD,-0.000213
2016-12-12,FX,AD,0.006887000000000001
2016-12-12,FX,AD,-0.001026
2016-12-13,FX,AD,-0.00551
2016-12-13,FX,AD,-0.005183
2016-12-14,FX,AD,0.007056000000000001
2016-12-15,FX,AD,-0.005301
2016-12-15,FX,AD,0.001056
2016-12-16,FX,AD,-0.003168
2016-12-28,FX,AD,-0.005183
2017-01-03,FX,AD,-0.005183
2017-01-04,FX,AD,-0.0035909999999999996
2017-01-05,FX,AD,0.003249
2017-01-09,FX,AD,-0.001104
2017-01-11,FX,AD,-0.002016
2017-01-12,FX,AD,-0.003198
2017-01-17,FX,AD,0.005856
2017-01-20,FX,AD,-0.005301
2017-01-24,FX,AD,-0.005183
2017-01-26,FX,AD,-0.001633
2017-01-26,FX,AD,-0.005538
2017-01-27,FX,AD,-0.005301
2017-01-31,FX,AD,0.006840000000000001
2017-01-31,FX,AD,-0.005301
2017-02-01,FX,AD,-0.00456
2017-02-01,FX,AD,-0.00551
2017-02-02,FX,AD,-0.002656
2017-02-03,FX,AD,-0.001104
2017-02-07,FX,AD,-0.005871
2017-02-09,FX,AD,-0.0037630000000000003
2017-02-10,FX,AD,0.006840000000000001
2017-02-10,FX,AD,-0.001596
2017-02-13,FX,AD,0.006840000000000001
2017-02-13,FX,AD,-0.002698
2017-02-14,FX,AD,-0.001633
2017-02-14,FX,AD,-0.005184
2017-02-15,FX,AD,0.003819
2017-02-16,FX,AD,-0.005183
2017-02-16,FX,AD,0.0004969999999999999
2017-02-17,FX,AD,-0.005183
2017-02-17,FX,AD,-0.0019879999999999997
2017-02-22,FX,AD,0.000852
2017-02-23,FX,AD,0.006840000000000001
2017-02-23,FX,AD,-0.005184
2017-02-24,FX,AD,0.006840000000000001
2017-02-24,FX,AD,-0.005183
2017-03-01,FX,AD,-0.005301
2017-03-02,FX,AD,0.006954000000000001
2017-03-02,FX,AD,0.001984
2017-03-08,FX,AD,0.004104
2017-03-10,FX,AD,-0.005183
2017-03-13,FX,AD,-0.003408
2017-03-15,FX,AD,0.006887000000000001
2017-03-15,FX,AD,0.007092
2017-03-23,FX,AD,-0.005183
2017-03-23,FX,AD,0.0022719999999999997
2017-03-28,FX,AD,-0.0033060000000000003
2017-03-31,FX,AD,-0.00551
2017-04-03,FX,AD,-0.005183
2017-04-04,FX,AD,0.001207
2017-04-13,FX,AD,-0.004161
2017-04-18,FX,AD,-0.0035909999999999996
2017-04-19,FX,AD,-0.005183
2017-04-19,FX,AD,0.006887000000000001
2017-04-19,FX,AD,0.001254
2017-04-25,FX,AD,-0.004828
2017-04-26,FX,AD,0.007056000000000001
2017-04-26,FX,AD,-0.000828
2017-04-27,FX,AD,-0.005183
2017-05-01,FX,AD,0.001254
2017-05-03,FX,AD,0.006847
2017-05-11,FX,AD,-0.00551
2017-05-11,FX,AD,0.000665
2017-05-12,FX,AD,-0.005183
2017-05-15,FX,AD,-0.005301
2017-05-17,FX,AD,-0.0044729999999999995
2017-05-18,FX,AD,0.00014199999999999998
2017-05-19,FX,AD,-0.001026
2017-05-22,FX,AD,0.006840000000000001
2017-05-22,FX,AD,-0.002343
2017-05-23,FX,AD,-0.00361
2017-05-24,FX,AD,0.00014199999999999998
2017-05-25,FX,AD,0.004047
2017-05-30,FX,AD,0.006840000000000001
2017-05-31,FX,AD,-0.00551
2017-05-31,FX,AD,0.00014199999999999998
2017-06-01,FX,AD,0.001056
2017-06-02,FX,AD,0.006887000000000001
2017-06-05,FX,AD,0.0018239999999999999
2017-06-06,FX,AD,0.00011399999999999999
2017-06-07,FX,AD,-0.0033060000000000003
2017-06-14,FX,AD,0.006887000000000001
2017-06-14,FX,AD,-0.005148
2017-06-15,FX,AD,0.006887000000000001
2017-06-15,FX,AD,-0.0013109999999999999
2017-06-20,FX,AD,-0.000213
2017-06-23,FX,AD,-0.00551
2017-06-23,FX,AD,-0.003135
2017-06-27,FX,AD,-0.002343
2017-06-28,FX,AD,-0.00551
2017-06-28,FX,AD,0.006840000000000001
2017-06-29,FX,AD,-0.00551
2017-06-29,FX,AD,-0.00551
2017-06-29,FX,AD,-0.0044729999999999995
2017-07-04,FX,AD,-0.000328
2017-07-05,FX,AD,-0.005301
2017-07-13,FX,AD,0.00011399999999999999
2017-07-14,FX,AD,0.001927
2017-07-18,FX,AD,-0.000312
2017-07-26,FX,AD,-0.005016
2017-07-27,FX,AD,0.007056000000000001
2017-07-27,FX,AD,0.0009720000000000001
2017-08-01,FX,AD,-0.005184
2017-08-01,FX,AD,0.002016
2017-08-04,FX,AD,-0.005248
